Stock;Brand ;Brand 2;Brand 3;€ Unit;# Box;€ Box;Size;Country;Distributor;;;
;ARTURO FUENTE OPUS X;Opus X Double Corona  ;;62,00;32;1984,00;49 X 198;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Opus X Double robusto  ;;47,00;42;1974,00;52 X 146;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Opus X Fuente Fuente  ;;41,00;32;1312,00;46 X 143;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Opus X Magnum O  ;;53,00;36;1908,00;54 X 121;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Opus X Perfecxion 2  ;;58,00;29;1682,00;52 X 162;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Opus X Perfecxion X  ;;50,00;32;1600,00;48 X 160;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Opus X reserve Chateau;;57,00;32;1824,00;48 X 78;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Opus X robusto  ;;46,00;29;1334,00;50 X 135;Dom. Rep;Koopmans;;;
;ASHTON;VSG ;Robusto ;18,50;24;444,00;50 X 140;Dom. Rep;CAT;;;
;ASHTON;PARADISO ;Papagayo;14,00;21;294,00;54 X 134;Nicaragua;CAT;;;
;ASHTON;PARADISO ;Revelation prophet ;12,90;24;309,60;54 X 134;Nicaragua;CAT;;;
;ASHTON;PARADISO;Revelation odyssey;14,50;24;348,00;60 X 147;Nicaragua;CAT;;;
;ASHTON;PARADISO ;Revelation leviathan;14,90;24;357,60;64 X 159;Nicaragua;CAT;;;
;ASHTON;ASHTON CLASSIC ;Magnum;16,00;25;400,00;50 X 127;Dom. Rep;CAT;;;
;ASHTON;LA AROMA DEL CARIBE ;El jefe;13,50;24;324,00;58 X 178;Nicaragua;CAT;;;
;ASHTON;PARADISO ;Quintessence epicure;14,50;24;348,00;52 X 153;Nicaragua;CAT;;;
;ASHTON;PARADISO ;Quintessence majestic;15,50;24;372,00;60 X 153;Nicaragua;CAT;;;
;ASHTON;ASHTON CLASSIC ;Churchill ;20,00;25;500,00;52 X 191;Dom. Rep;CAT;;;
